,dataset_type,recall,precision,auroc,auprc,iteration,model_type
0,artificial_train,1.0,0.908256880733945,0.5210616806361488,0.589559955214863,1,SVM
1,train,0.1963470319634703,0.2792207792207792,0.3996811585731602,0.0533045145655046,1,SVM
2,val,0.22916666666666666,0.4074074074074074,0.3658297720797721,0.050873452073304085,1,SVM
3,test,0.2553191489361702,0.3157894736842105,0.36863291062619163,0.049793150579640566,1,SVM
0,artificial_train,1.0,0.9528301886792453,0.46952048145991077,0.5547878311692388,2,SVM
1,train,0.2009132420091324,0.2913907284768212,0.380483174886819,0.05062126928373906,2,SVM
2,val,0.20833333333333334,0.38461538461538464,0.3334817188983856,0.04675624502011805,2,SVM
3,test,0.2553191489361702,0.3333333333333333,0.3497775491056566,0.04727990106113466,2,SVM
0,artificial_train,1.0,0.9454545454545454,0.5031316160903316,0.5617756531812664,3,SVM
1,train,0.2054794520547945,0.29411764705882354,0.39179710495881226,0.05158536566852742,3,SVM
2,val,0.25,0.42857142857142855,0.340693257359924,0.047208565470023306,3,SVM
3,test,0.2765957446808511,0.34210526315789475,0.3738990950637088,0.04951113579167978,3,SVM
0,artificial_train,1.0,0.9292035398230089,0.48244552058111384,0.5375966038901698,4,SVM
1,train,0.2054794520547945,0.29605263157894735,0.3919745483543692,0.051671950252834616,4,SVM
2,val,0.25,0.4444444444444444,0.3389274691358025,0.04709594379476529,4,SVM
3,test,0.2765957446808511,0.35135135135135137,0.37165945340637385,0.04931212842006444,4,SVM
0,artificial_train,0.9811320754716981,0.9541284403669725,0.38315257762590993,0.47204712802033294,5,SVM
1,train,0.2100456621004566,0.3087248322147651,0.45540047234736036,0.07199802581162634,5,SVM
2,val,0.25,0.5,0.4050925925925926,0.06704281403105042,5,SVM
3,test,0.2765957446808511,0.35135135135135137,0.42976907478587206,0.06909990097547136,5,SVM
0,artificial_train,0.9722222222222222,0.963302752293578,0.36296296296296293,0.46602472313037374,6,SVM
1,train,0.2100456621004566,0.3150684931506849,0.38928158388062445,0.05140861203800611,6,SVM
2,val,0.25,0.5217391304347826,0.34303774928774927,0.04755633449590571,6,SVM
3,test,0.2765957446808511,0.35135135135135137,0.36733149723071334,0.04896206782960743,6,SVM
0,artificial_train,0.9545454545454546,0.9375,0.351462174189447,0.43630050286830024,7,SVM
1,train,0.2146118721461187,0.3263888888888889,0.4228998008458831,0.05638105210649894,7,SVM
2,val,0.25,0.5217391304347826,0.37894705603038936,0.05331522237165911,7,SVM
3,test,0.2765957446808511,0.3611111111111111,0.39402560455192037,0.053531091768336536,7,SVM
0,artificial_train,0.6756756756756757,0.974025974025974,0.3394381223328591,0.42632002355722526,8,SVM
1,train,0.1872146118721461,0.36283185840707965,0.4129685375463267,0.05418522123045931,8,SVM
2,val,0.25,0.5217391304347826,0.369747150997151,0.051551295593435284,8,SVM
3,test,0.2765957446808511,0.3611111111111111,0.38146545201416415,0.05102501356036846,8,SVM
0,artificial_train,0.6403508771929824,0.9864864864864865,0.3473187686196624,0.42706879786250224,9,SVM
1,train,0.1872146118721461,0.36936936936936937,0.3913107012980507,0.050544611810805176,9,SVM
2,val,0.25,0.5454545454545454,0.34277065527065526,0.047626693850509196,9,SVM
3,test,0.2765957446808511,0.3611111111111111,0.37087255228352656,0.04925666968477144,9,SVM
0,artificial_train,0.9396551724137931,0.8195488721804511,0.3752322940326244,0.42614541680259055,10,SVM
1,train,0.2146118721461187,0.3357142857142857,0.39313245349243386,0.051470541414510095,10,SVM
2,val,0.25,0.5454545454545454,0.3400551994301994,0.047307698643046986,10,SVM
3,test,0.2765957446808511,0.3611111111111111,0.3727792742350413,0.04945526535007813,10,SVM
0,artificial_train,0.6218487394957983,0.961038961038961,0.3708103931227663,0.41565162783687065,11,SVM
1,train,0.1917808219178082,0.375,0.3918618196089565,0.05056458568443098,11,SVM
2,val,0.25,0.5454545454545454,0.34382419278252613,0.047701753148175735,11,SVM
3,test,0.2765957446808511,0.37142857142857144,0.37520050845918707,0.04969867852493358,11,SVM
0,artificial_train,0.6050420168067226,0.96,0.38148520277676284,0.41140327679782057,12,SVM
1,train,0.1917808219178082,0.3783783783783784,0.3892064313836827,0.050994457929138426,12,SVM
2,val,0.25,0.5454545454545454,0.34235517568850904,0.04755353883182987,12,SVM
3,test,0.2765957446808511,0.37142857142857144,0.36978299688266086,0.049077731655421675,12,SVM
0,artificial_train,0.5166666666666667,0.96875,0.3435233160621762,0.36116550470756015,13,SVM
1,train,0.182648401826484,0.4,0.40551034808131503,0.05263321971245209,13,SVM
2,val,0.25,0.6,0.36309947768281103,0.05018607363651474,13,SVM
3,test,0.2765957446808511,0.3939393939393939,0.3719469749704912,0.04919545871455123,13,SVM
0,artificial_train,0.45901639344262296,0.9824561403508771,0.3454856863224859,0.3563150999299517,14,SVM
1,train,0.1643835616438356,0.3870967741935484,0.41926812601682023,0.05559122339420946,14,SVM
2,val,0.1875,0.5294117647058824,0.37099358974358976,0.051939318847034274,14,SVM
3,test,0.2765957446808511,0.41935483870967744,0.3860355316122393,0.052134719523905484,14,SVM
0,artificial_train,0.515625,0.9565217391304348,0.3695884146341464,0.3860612168106411,15,SVM
1,train,0.1735159817351598,0.3958333333333333,0.39052995035760063,0.05101143792813696,15,SVM
2,val,0.20833333333333334,0.5263157894736842,0.34455128205128205,0.04780863908656813,15,SVM
3,test,0.2765957446808511,0.38235294117647056,0.3613692079537545,0.04832521879384533,15,SVM
0,artificial_train,0.49612403100775193,0.9696969696969697,0.36519234948924145,0.37109638019153696,16,SVM
1,train,0.1689497716894977,0.40217391304347827,0.39424582381749634,0.05104884387541634,16,SVM
2,val,0.10416666666666667,0.35714285714285715,0.34965574548907885,0.048437740824515324,16,SVM
3,test,0.2553191489361702,0.4,0.3661511455464423,0.04897178128655076,16,SVM
0,artificial_train,0.4962962962962963,0.8481012658227848,0.36739721372748896,0.38039781896449976,17,SVM
1,train,0.1278538812785388,0.34146341463414637,0.38976242068976075,0.05086320935449296,17,SVM
2,val,0.10416666666666667,0.35714285714285715,0.3402777777777778,0.04738297172358088,17,SVM
3,test,0.2127659574468085,0.3448275862068966,0.36173239308737626,0.04850465996065775,17,SVM
0,artificial_train,0.4397163120567376,0.96875,0.33914765829659443,0.36727609349354345,18,SVM
1,train,0.1506849315068493,0.39759036144578314,0.39780791300124274,0.05144241590126903,18,SVM
2,val,0.10416666666666667,0.35714285714285715,0.349269943019943,0.04835584295272541,18,SVM
3,test,0.23404255319148937,0.36666666666666664,0.3783783783783784,0.05043972985504527,18,SVM
0,artificial_train,0.40816326530612246,0.967741935483871,0.3353199686954428,0.3670061157903652,19,SVM
1,train,0.1232876712328767,0.35064935064935066,0.4124076772450765,0.05377696801789275,19,SVM
2,val,0.10416666666666667,0.35714285714285715,0.3604582146248813,0.04973540918133547,19,SVM
3,test,0.2127659574468085,0.3448275862068966,0.3795284646348476,0.0506247619256858,19,SVM
0,artificial_train,0.5935483870967742,0.8288288288288288,0.35901245048104136,0.3895030519553905,20,SVM
1,train,0.1598173515981735,0.39325842696629215,0.3978538395271516,0.05187643590698385,20,SVM
2,val,0.10416666666666667,0.35714285714285715,0.3449667616334283,0.047845712439864296,20,SVM
3,test,0.2553191489361702,0.375,0.3671801700917043,0.049057927184585126,20,SVM
0,artificial_train,0.6335403726708074,0.8947368421052632,0.37947097879631614,0.3972543930596364,21,SVM
1,train,0.1689497716894977,0.4111111111111111,0.401088876177911,0.0522428910759863,21,SVM
2,val,0.10416666666666667,0.35714285714285715,0.3457235280151947,0.04788947546018292,21,SVM
3,test,0.2553191489361702,0.375,0.3691928210405254,0.04928325957152166,21,SVM
0,artificial_train,0.4759036144578313,0.8681318681318682,0.33492196634639826,0.38389483739546876,22,SVM
1,train,0.1415525114155251,0.36904761904761907,0.39696453498000805,0.05176404276190111,22,SVM
2,val,0.10416666666666667,0.35714285714285715,0.34259259259259256,0.047581193392016816,22,SVM
3,test,0.23404255319148937,0.3548387096774194,0.3712962682727521,0.04952091714524398,22,SVM
0,artificial_train,0.3160919540229885,0.9649122807017544,0.29244216803732026,0.36543343896796143,23,SVM
1,train,0.0867579908675799,0.2835820895522388,0.4699612686298169,0.0879361220023955,23,SVM
2,val,0.0625,0.25,0.42862654320987653,0.0966912489511884,23,SVM
3,test,0.1702127659574468,0.32,0.43170606216518875,0.08596687326716745,23,SVM
0,artificial_train,0.521978021978022,0.9047619047619048,0.36820026446582466,0.40194628057129644,24,SVM
1,train,0.1506849315068493,0.38823529411764707,0.41174800532747696,0.05333714838571951,24,SVM
2,val,0.10416666666666667,0.35714285714285715,0.3667646011396012,0.05056230968601567,24,SVM
3,test,0.2553191489361702,0.375,0.38792712084985326,0.051712639231847976,24,SVM
0,artificial_train,0.42780748663101603,0.9195402298850575,0.31252989000478243,0.38288773467026616,25,SVM
1,train,0.1324200913242009,0.3625,0.46304654305472637,0.07364966247292264,25,SVM
2,val,0.10416666666666667,0.35714285714285715,0.42283950617283944,0.07904704017695333,25,SVM
3,test,0.23404255319148937,0.36666666666666664,0.4173299839593233,0.06396917756010936,25,SVM
0,artificial_train,0.5969387755102041,0.9140625,0.39123564405519295,0.41523093493850527,26,SVM
1,train,0.1598173515981735,0.40229885057471265,0.40608512551162845,0.052410765548545825,26,SVM
2,val,0.10416666666666667,0.35714285714285715,0.3626246438746439,0.04995836076118318,26,SVM
3,test,0.2553191489361702,0.375,0.38016403861868586,0.050661406555491034,26,SVM
0,artificial_train,0.6884422110552764,0.8253012048192772,0.4072231234914731,0.42003915767421496,27,SVM
1,train,0.1735159817351598,0.40425531914893614,0.4213222942665603,0.05490120013532898,27,SVM
2,val,0.125,0.4,0.35870726495726496,0.04944062708939288,27,SVM
3,test,0.2553191489361702,0.375,0.3883811022668805,0.051752160494263955,27,SVM
0,artificial_train,0.6218905472636815,0.9191176470588235,0.4017412935323383,0.4096981953288791,28,SVM
1,train,0.1643835616438356,0.4090909090909091,0.42154148904930705,0.05503502594533551,28,SVM
2,val,0.10416666666666667,0.35714285714285715,0.3662155745489079,0.05064725855405681,28,SVM
3,test,0.2553191489361702,0.375,0.39214914802820733,0.05238799517421126,28,SVM
0,artificial_train,0.9368932038834952,0.6655172413793103,0.4407839714919458,0.42960460646261617,29,SVM
1,train,0.2146118721461187,0.376,0.40472124686342703,0.0524932454540112,29,SVM
2,val,0.125,0.4,0.3503679962013295,0.04842966635038331,29,SVM
3,test,0.2553191489361702,0.375,0.3821010259980025,0.05081705565303778,29,SVM
0,artificial_train,0.6559139784946236,0.9242424242424242,0.5098924731182795,0.4873019912297867,1,KNN
1,train,0.1324200913242009,0.13004484304932734,0.4556614185172969,0.057614133196363326,1,KNN
2,val,0.1875,0.1956521739130435,0.3823599240265907,0.052373810782241015,1,KNN
3,test,0.0425531914893617,0.03225806451612903,0.4733664235343966,0.05958407952024973,1,KNN
0,artificial_train,0.6559139784946236,0.9242424242424242,0.5098729227761486,0.4646005678547144,2,KNN
1,train,0.0776255707762557,0.1223021582733813,0.5201074680706267,0.06533165460971706,2,KNN
2,val,0.0625,0.13636363636363635,0.49516263057929727,0.06373806160882431,2,KNN
3,test,0.02127659574468085,0.030303030303030304,0.5813232045034956,0.07433728284359875,2,KNN
0,artificial_train,0.6344086021505376,0.921875,0.49973118279569884,0.43979848756597384,3,KNN
1,train,0.0730593607305936,0.13793103448275862,0.5218283210793012,0.06563001471687152,3,KNN
2,val,0.041666666666666664,0.11764705882352941,0.49832324311490983,0.06387520295963015,3,KNN
3,test,0.0,0.0,0.5713053479010926,0.07271372440037675,3,KNN
0,artificial_train,0.6344086021505376,0.921875,0.4884615384615384,0.4115926508764134,4,KNN
1,train,0.0730593607305936,0.14545454545454545,0.5195542621903613,0.0652025262662044,4,KNN
2,val,0.041666666666666664,0.13333333333333333,0.5286087369420703,0.06789195597469845,4,KNN
3,test,0.0,0.0,0.5780545383008989,0.07376609836537339,4,KNN
0,artificial_train,0.6170212765957447,0.9206349206349206,0.47619776519210166,0.39445413195787715,5,KNN
1,train,0.0958904109589041,0.1826086956521739,0.4253290357238786,0.055165423788276165,5,KNN
2,val,0.0625,0.2,0.4110873694207028,0.05560634095399924,5,KNN
3,test,0.0,0.0,0.43977179867437427,0.056558237332087695,5,KNN
0,artificial_train,0.5957446808510638,0.9180327868852459,0.4365272026274454,0.35837419810061966,6,KNN
1,train,0.0821917808219178,0.1956521739130435,0.40807805839349015,0.05374885837759287,6,KNN
2,val,0.020833333333333332,0.1,0.43497744539411204,0.05711753055214137,6,KNN
3,test,0.0,0.0,0.42972367664416933,0.055668505221273,6,KNN
0,artificial_train,0.5789473684210527,0.9322033898305084,0.4451032644903397,0.351949104523835,7,KNN
1,train,0.0821917808219178,0.21428571428571427,0.39005398454363643,0.05247074596881507,7,KNN
2,val,0.020833333333333332,0.125,0.4274097815764482,0.056410537348542726,7,KNN
3,test,0.0,0.0,0.4055869979722163,0.05382606928695659,7,KNN
0,artificial_train,0.5463917525773195,0.9137931034482759,0.4331760029809961,0.3399383844499023,8,KNN
1,train,0.045662100456621,0.14285714285714285,0.38757464800101316,0.05203768731212676,8,KNN
2,val,0.0,0.0,0.42788461538461536,0.056476190476190485,8,KNN
3,test,0.0,0.0,0.4132744166338791,0.05468636451794445,8,KNN
0,artificial_train,0.5454545454545454,0.9152542372881356,0.4258388482526414,0.33098144271977037,9,KNN
1,train,0.0502283105022831,0.1527777777777778,0.3912515534995316,0.052192972376544716,9,KNN
2,val,0.0,0.0,0.434443257359924,0.057047843817591926,9,KNN
3,test,0.0,0.0,0.4187827244938107,0.0551047666039967,9,KNN
0,artificial_train,0.5252525252525253,0.9122807017543859,0.42108585858585856,0.31704138108121926,10,KNN
1,train,0.0502283105022831,0.15714285714285714,0.3921325077692373,0.05227132041844733,10,KNN
2,val,0.0,0.0,0.4249169040835708,0.05618649193548387,10,KNN
3,test,0.0,0.0,0.4125934445083381,0.05458231614291978,10,KNN
0,artificial_train,0.52,0.9122807017543859,0.4061139896373057,0.3036577910368321,11,KNN
1,train,0.0502283105022831,0.15942028985507245,0.39797631026290853,0.052711044127250216,11,KNN
2,val,0.0,0.0,0.42450142450142453,0.05611619880349747,11,KNN
3,test,0.0,0.0,0.4254411186102115,0.05545871374277489,11,KNN
0,artificial_train,0.5,0.9107142857142857,0.4067895815042435,0.3004536549706294,12,KNN
1,train,0.0502283105022831,0.16176470588235295,0.3990277493636393,0.05273821982177092,12,KNN
2,val,0.0,0.0,0.40941061253561256,0.05471380491010855,12,KNN
3,test,0.0,0.0,0.4223843104022275,0.0552046334958474,12,KNN
0,artificial_train,0.49038461538461536,0.9107142857142857,0.410287081339713,0.2964509310355956,13,KNN
1,train,0.0593607305936073,0.18840579710144928,0.39706056317054467,0.05258988544958328,13,KNN
2,val,0.0,0.0,0.39749525166191835,0.05364420464189226,13,KNN
3,test,0.0,0.0,0.41975121818346905,0.05500473521660534,13,KNN
0,artificial_train,0.49056603773584906,0.9122807017543859,0.40213894443961395,0.2901934134222045,14,KNN
1,train,0.0684931506849315,0.23076923076923078,0.38801025414069384,0.051695904627926254,14,KNN
2,val,0.041666666666666664,0.25,0.3975842830009496,0.05399964364156234,14,KNN
3,test,0.0,0.0,0.4069489422232983,0.05380679265230606,14,KNN
0,artificial_train,0.5045871559633027,0.9166666666666666,0.39779243119266056,0.2879928221694375,15,KNN
1,train,0.1461187214611872,0.37209302325581395,0.2857896370273569,0.04582806579904327,15,KNN
2,val,0.041666666666666664,0.25,0.2524186847103514,0.04571580666307681,15,KNN
3,test,0.02127659574468085,0.05555555555555555,0.22234496534608514,0.044613939368814005,15,KNN
0,artificial_train,0.5089285714285714,0.9193548387096774,0.4012832405689549,0.2882336382828994,16,KNN
1,train,0.1095890410958904,0.3287671232876712,0.28043362990735365,0.04559420511113586,16,KNN
2,val,0.020833333333333332,0.14285714285714285,0.2379510921177588,0.04516625767783578,16,KNN
3,test,0.0,0.0,0.22267788505190522,0.04541926851416866,16,KNN
0,artificial_train,0.5172413793103449,0.9090909090909091,0.4108831660119307,0.29320887221593656,17,KNN
1,train,0.2054794520547945,0.4326923076923077,0.28787094367877036,0.045555478697747634,17,KNN
2,val,0.0625,0.3333333333333333,0.2534722222222222,0.04589307931314277,17,KNN
3,test,0.1276595744680851,0.1935483870967742,0.24077661087739477,0.044417596423141845,17,KNN
0,artificial_train,0.5294117647058824,0.8873239436619719,0.42027138724342195,0.2957510665909533,18,KNN
1,train,0.2831050228310502,0.4881889763779528,0.29848553801533384,0.046424396285997385,18,KNN
2,val,0.10416666666666667,0.4166666666666667,0.27727326685660014,0.04653402663747491,18,KNN
3,test,0.2553191489361702,0.3333333333333333,0.2701643412729639,0.045341995885191236,18,KNN
0,artificial_train,0.5327868852459017,0.8783783783783784,0.4298706812095879,0.2990221894373379,19,KNN
1,train,0.273972602739726,0.49586776859504134,0.3019202854681513,0.046314149037993205,19,KNN
2,val,0.10416666666666667,0.45454545454545453,0.274335232668566,0.04637084515063994,19,KNN
3,test,0.2553191489361702,0.35294117647058826,0.2745830937320299,0.045687201462710325,19,KNN
0,artificial_train,0.5196850393700787,0.868421052631579,0.4194451279527559,0.29905840977550024,20,KNN
1,train,0.365296803652968,0.547945205479452,0.30981060179057784,0.0473587078852585,20,KNN
2,val,0.22916666666666666,0.6470588235294118,0.26590693257359926,0.04604399522197306,20,KNN
3,test,0.2978723404255319,0.34146341463414637,0.2621742683332829,0.044991037504174776,20,KNN
0,artificial_train,0.5307692307692308,0.8625,0.42614799649020185,0.3006447851833064,21,KNN
1,train,0.3470319634703196,0.5428571428571428,0.307685456182615,0.04718921976080416,21,KNN
2,val,0.22916666666666666,0.6470588235294118,0.2650759734093068,0.04637858433242645,21,KNN
3,test,0.2978723404255319,0.3684210526315789,0.26683514421476345,0.04589040050853452,21,KNN
0,artificial_train,0.5514705882352942,0.872093023255814,0.4378304692663582,0.3114027069800877,22,KNN
1,train,0.3561643835616438,0.5416666666666666,0.31253348809180853,0.047141214447217805,22,KNN
2,val,0.20833333333333334,0.625,0.2943969610636277,0.04699123387435076,22,KNN
3,test,0.2978723404255319,0.3684210526315789,0.29201598014587943,0.04584981463253336,22,KNN
0,artificial_train,0.574468085106383,0.8804347826086957,0.4377998539841468,0.31510552989852225,23,KNN
1,train,0.3698630136986301,0.5510204081632653,0.2943932062142765,0.046690926447830725,23,KNN
2,val,0.1875,0.6,0.2927053656220323,0.04691013472796143,23,KNN
3,test,0.3404255319148936,0.3902439024390244,0.2751884022880664,0.04594324141585805,23,KNN
0,artificial_train,0.5763888888888888,0.8736842105263158,0.44510404221425726,0.3171364758217091,24,KNN
1,train,0.3881278538812785,0.5629139072847682,0.30928314259907946,0.04753385328925119,24,KNN
2,val,0.2708333333333333,0.6842105263157895,0.27426103988603984,0.047049154673029066,24,KNN
3,test,0.44680851063829785,0.45652173913043476,0.27479495172664264,0.04889073242447352,24,KNN
0,artificial_train,0.5986394557823129,0.8627450980392157,0.4574948860663146,0.32130785737105655,25,KNN
1,train,0.3972602739726027,0.5612903225806452,0.3130198917525701,0.04793520946184817,25,KNN
2,val,0.2916666666666667,0.7368421052631579,0.2822590218423552,0.04692449871679179,25,KNN
3,test,0.44680851063829785,0.45652173913043476,0.29546623891528706,0.04904235772916907,25,KNN
0,artificial_train,0.609271523178808,0.8679245283018868,0.4438446883788443,0.31887630801426886,26,KNN
1,train,0.4292237442922374,0.573170731707317,0.31061849113270124,0.04868275128471299,26,KNN
2,val,0.3125,0.75,0.2976317663817664,0.04830278299808663,26,KNN
3,test,0.46808510638297873,0.43137254901960786,0.30540843194818557,0.0495767392813327,26,KNN
0,artificial_train,0.5844155844155844,0.8737864077669902,0.4660556834469878,0.3250630049050697,27,KNN
1,train,0.4429223744292237,0.5914634146341463,0.31518261360900385,0.049034422833982,27,KNN
2,val,0.3333333333333333,0.7272727272727273,0.2978395061728395,0.04838342254279316,27,KNN
3,test,0.46808510638297873,0.43137254901960786,0.29507278835386336,0.04899941422897797,27,KNN
0,artificial_train,0.5870967741935483,0.883495145631068,0.45027230833682447,0.31382383932265584,28,KNN
1,train,0.4474885844748858,0.6049382716049383,0.32117045838847996,0.049354167458287426,28,KNN
2,val,0.2916666666666667,0.7,0.2948866334283001,0.04785591329555078,28,KNN
3,test,0.46808510638297873,0.43137254901960786,0.2907750976060046,0.049332557052554286,28,KNN
0,artificial_train,0.5870967741935483,0.883495145631068,0.44360925136944607,0.3053747174668837,29,KNN
1,train,0.4474885844748858,0.6086956521739131,0.3182812623949431,0.04919228368299024,29,KNN
2,val,0.2916666666666667,0.7,0.29380341880341887,0.04814334076259196,29,KNN
3,test,0.46808510638297873,0.43137254901960786,0.2893828879271208,0.04928601726958797,29,KNN
0,artificial_train,0.5638297872340425,0.7681159420289855,0.5638297872340425,0.6186251793138376,1,LogReg
1,train,0.0684931506849315,0.12195121951219512,0.6926861311633745,0.28812445171349244,1,LogReg
2,val,0.0,0.0,0.6754510921177588,0.30039629721159794,1,LogReg
3,test,0.0,0.0,0.7821797161102871,0.30593413192327995,1,LogReg
0,artificial_train,0.5157894736842106,0.7903225806451613,0.5303118908382066,0.561689057948808,2,LogReg
1,train,0.0502283105022831,0.11458333333333333,0.6951077116203852,0.2988225684710232,2,LogReg
2,val,0.0,0.0,0.678923314339981,0.34133716292543964,2,LogReg
3,test,0.0,0.0,0.7885959868042735,0.325455235806481,2,LogReg
0,artificial_train,0.422680412371134,0.7454545454545455,0.5135531461073587,0.5298352187126226,3,LogReg
1,train,0.0547945205479452,0.1411764705882353,0.7061843546418497,0.3185405825377096,3,LogReg
2,val,0.0,0.0,0.694681861348528,0.36404141567572385,3,LogReg
3,test,0.0,0.0,0.7987349051178838,0.34374619850177857,3,LogReg
0,artificial_train,0.35051546391752575,0.7906976744186046,0.48465881197839955,0.47324782069100046,4,LogReg
1,train,0.045662100456621,0.1724137931034483,0.6948363276036513,0.2884053101152498,4,LogReg
2,val,0.0,0.0,0.6830484330484331,0.3004117843768568,4,LogReg
3,test,0.0,0.0,0.7856602403074967,0.29228893706997,4,LogReg
0,artificial_train,0.3163265306122449,0.8611111111111112,0.4614890400604686,0.4229109253286365,5,LogReg
1,train,0.0273972602739726,0.15384615384615385,0.6981694800143068,0.2880794505302394,5,LogReg
2,val,0.0,0.0,0.6924857549857549,0.28439811243316226,5,LogReg
3,test,0.0,0.0,0.790381647044581,0.29021369695499655,5,LogReg
0,artificial_train,0.23232323232323232,0.92,0.42845117845117836,0.3851992745236511,6,LogReg
1,train,0.0273972602739726,0.23076923076923078,0.7002862753448318,0.2832569554771705,6,LogReg
2,val,0.0,0.0,0.6951566951566952,0.2819878610533934,6,LogReg
3,test,0.0,0.0,0.7956478314820981,0.31970790933055854,6,LogReg
0,artificial_train,0.3076923076923077,0.9142857142857143,0.45030975735673723,0.3949044328409552,7,LogReg
1,train,0.0319634703196347,0.25,0.6984088546341951,0.2655358896012007,7,LogReg
2,val,0.0,0.0,0.6918625356125356,0.2627393139043146,7,LogReg
3,test,0.0,0.0,0.7911080173118248,0.30463134614961757,7,LogReg
0,artificial_train,0.2523364485981308,0.9310344827586207,0.42673136832015335,0.37968887268409013,8,LogReg
1,train,0.0365296803652968,0.2857142857142857,0.6788093617743782,0.263536646422236,8,LogReg
2,val,0.0,0.0,0.6671711775878443,0.2616031215906742,8,LogReg
3,test,0.0,0.0,0.7764595502557429,0.3285059817736664,8,LogReg
0,artificial_train,0.20909090909090908,0.8846153846153846,0.4134969325153375,0.36053234445929205,9,LogReg
1,train,0.0228310502283105,0.23809523809523808,0.6844430156191941,0.2889928470276167,9,LogReg
2,val,0.0,0.0,0.6754214150047483,0.3307933088633207,9,LogReg
3,test,0.0,0.0,0.7834508640779638,0.3839765201333885,9,LogReg
0,artificial_train,0.22123893805309736,0.8620689655172413,0.41944299843831334,0.353685673237508,10,LogReg
1,train,0.0319634703196347,0.3333333333333333,0.670177958329332,0.27177780840292426,10,LogReg
2,val,0.0,0.0,0.6590396486229819,0.2816187546689124,10,LogReg
3,test,0.0,0.0,0.7697708907115401,0.36985679327987975,10,LogReg
0,artificial_train,0.21367521367521367,0.8928571428571429,0.42586926961926963,0.35348518252755545,11,LogReg
1,train,0.0319634703196347,0.3684210526315789,0.6554383269384125,0.24371290261377568,11,LogReg
2,val,0.0,0.0,0.6437262583095917,0.26666597659769764,11,LogReg
3,test,0.0,0.0,0.754517115099422,0.3369125205677825,11,LogReg
0,artificial_train,0.29508196721311475,0.8181818181818182,0.43204872747033785,0.3586512810245157,12,LogReg
1,train,0.0365296803652968,0.38095238095238093,0.6384357703618035,0.21737335857675644,12,LogReg
2,val,0.0,0.0,0.6271367521367521,0.23802227453408892,12,LogReg
3,test,0.0,0.0,0.7364486547017343,0.29982096445129575,12,LogReg
